No.,SUSTANCIA,FORMULA,A,B,C,Tmin,Tmax
89,Aleno(propadieno),C3H4,5.7137,458.06,196.07,-99,-16
90,Propina(metilacetileno),C3H4,6.78485,803.73,229.08,-90,-6
91,Ácido-acrílico,C3H4O2,7.1926,1441.5,193.01,42,177
92,3-bromo-1-propeno,C3H5BR,7.05187,1259.83,232.04,17,93
93,3-cloro-1-propeno,C3H5CL,6.9388,1099.6,226.01,-43,77
94,"1,2,3-tricloropropano",C3H5CL3,7.0028,1484.1,204.01,42,197
95,3-yodo-1-propeno,C3H5I,6.9693,1316.5,220,20,142
96,Propionitrilo,C3H5N,6.9301,1277.2,218.01,-3,132
97,Propeno,C3H6,6.8196,785,247,-112,-32
98,Ciclopropano,C3H6,6.8879,856.01,246.51,-93,-28
99,"1,2-dibromopropano",C3H6BR2,6.89105,1419.6,212,50,250
100,"1,2-dicloropropano",C3H6CL2,6.9654,1296.4,221,15,135
101,"1,3-dicloropropano",C3H6CL2,6.97186,1376.2,216,34,162
102,"2,2-dicloropropano",C3H6CL2,6.9482,1201.1,226,-6,105
103,"1,2-diiodopropano",C3H6I2,6.0765,1507.41,244.7,125,275
104,Óxido-de-propileno,C3H6O,6.6546,915.31,208.29,-48,67
105,Alcohol-alílico,C3H6O,7.3424,1271.7,188.01,13,127
106,Propionaldehído,C3H6O,7.0493,1154.8,229.01,-38,77
107,Acetona,C3H6O,7.2316,1277.03,237.23,-32,77
108,Tiaciclobutano,C3H6S,7.01667,1321.331,224.513,-5,120
109,1-bromopropano,C3H7BR,7.03766,1259.836,232.042,-53,71
110,2-bromopropano,C3H7BR,7.00463,1223.475,236.508,-62,60
111,1-cloropropano,C3H7CL,6.9311,1121.12,230.21,-43,77
112,2-cloropropano,C3H7CL,6.9654,1081.6,230.01,-48,67
113,1-fluoropropano,C3H7F,6.9533,965.18,239.5,-70,30
114,2-fluoropropano,C3H7F,7.07451,965.18,239.5,-49,8
115,1-yodopropano,C3H7I,7.22121,1507.41,244.701,-36,103
116,2-yodopropano,C3H7I,7.0167,1340.448,234.365,-43,90
117,1-nitropropano,C3H7NO2,7.1146,1467.45,215.23,59,131
118,2-nitropropano,C3H7NO2,7.48654,1664.036,240.995,-19,120
119,Nitrato-de-propilo,C3H7NO3,7.73719,1721.723,245.49,0,70
120,Nitrato-de-isopropilo,C3H7NO3,6.42006,1018.568,183.528,0,70
121,Propano,C3H8,6.80398,803.81,246.99,-108,-25
122,Etil-metil-éter,C3H8O,5.8819,504.49,160.76,-68,37
123,Alcohol-propílico,C3H8O,7.6192,1375.14,193.01,12,127
124,Alcohol-isopropílico,C3H8O,8.1182,1580.92,219.62,0,101
125,Etil-metil-sulfuro,C3H8S,6.93849,1182.562,224.784,-26,90
126,1-propanethiol,C3H8S,6.92846,1183.307,224.624,-25,91
127,2-propanethiol,C3H8S,6.87734,1113.895,226.157,-37,75
128,Propilamina,C3H9N,6.9468,1108.2,224.01,-38,77
129,Trimetilamina,C3H9N,6.9704,968.7,234.01,-58,32
130,Octafluorociclobutano,C4F8,6.8153,862.49,225.15,-32,1
131,Butadiyne(biacetileno),C4H2,5.51917,460.684,164.594,-78,0
132,1buten3ino(vinilacetileno),C4H4,6.953,957,230.01,-73,32
133,Furano,C4H4O,6.9753,1060.85,227.75,-35,90
134,Tiofeno,C4H4S,6.95926,1246.02,221.35,-12,108
135,"1,2-butadieno",C4H6,6.99383,1041.117,242.274,-26,30
